Metabolite,FC,log2FC,pvalue,neglogp,p.ajusted,#NAME?
Cer(d18:0/22:0),0.80621,-0.31076,0.38228,0.417618423,1,0
PE(22:4/18:0),0.93343,-0.099388,0.19487,0.710255015,1,0
Anandamide (20:1),0.43249,-1.2093,1,0,1,0
LysoMG(18:0),0.19681,-2.3451,0.95913,0.018122525,1,0
PE(18:1/20:1),0.24549,-2.0263,0.4418,0.354774288,1,0
DG(18:0/20:4),1.1802,0.23901,0.87848,0.056268121,1,0
LysoMG(20:4),1.098,0.13494,0.50536,0.296399136,1,0
PC(O-18:0/16:0),0.00083131,-10.232,0.95913,0.018122525,1,0
HexCer(d18:1/24:0),0.68972,-0.53592,0.95913,0.018122525,1,0
PC(18:2/20:5),0.65913,-0.60136,0.95913,0.018122525,1,0
SM(d18:1/16:0),0.95419,-0.06765,0.38228,0.417618423,1,0
PE(P-18:0/20:1),1.0097,0.013951,0.38228,0.417618423,1,0
SM(d18:0/18:1),0.54752,-0.86901,0.95913,0.018122525,1,0
SM(d18:1/18:1),0.90971,-0.13652,1,0,1,0
PE(18:0/20:4),0.4622,-1.1134,0.4418,0.354774288,1,0
TG(16:0/16:0/18:1),1.0629,0.087995,0.19487,0.710255015,1,0
PE(P-18:0/22:4),0.80736,-0.30872,0.2345,0.629857153,1,0
TG(18:0/16:0/18:1),1.1657,0.22117,0.2345,0.629857153,1,0
PE(18:0/18:1),69.838,6.1259,0.7209,0.142124974,1,0
HexCer(d18:2/24:0(2OH)),1.2267,0.2948,0.79845,0.097752275,1,0
PC(18:1/22:6),1.115,0.15709,0.7209,0.142124974,1,0
PC(20:4/18:1),1.8085,0.85478,0.79845,0.097752275,1,0
Phosphocholine,2.8082,1.4897,0.95913,0.018122525,1,0
PC(16:1/16:0),1.3389,0.42108,0.79845,0.097752275,1,0
PC(22:6/16:0),1.3451,0.42773,0.50536,0.296399136,1,0
PC(16:0/16:0),3.0579,1.6126,0.27863,0.554972125,1,0
